,rating,imdbid,year,id,title
0,0,8179388,2019,8749,Rim of the World
1,2,2386490,2019,8607,How to Train Your Dragon: The Hidden World
2,2,9358120,2019,8609,We Are Little Zombies
3,1,6811018,2019,8615,"Kid Who Would Be King, The"
4,2,4139588,2019,8616,Polar
5,3,5316540,2019,8617,Close
6,1,6476140,2019,8620,Serenity
7,3,6078866,2019,8623,Soni
8,3,6857112,2019,8681,Us
9,1,5719748,2019,8639,Cold Pursuit
10,3,7605074,2019,8640,"Wandering Earth (Liu Lang Di Qiu), The"
11,3,0437086,2019,8642,Alita: Battle Angel
12,3,3513498,2019,8645,"Lego Movie 2: The Second Part, The"
13,3,9109492,2019,8647,American Woman
14,0,7458762,2019,8655,Le chant du loup
15,3,2452244,2019,8659,Isn&#39;t It Romantic
16,3,4154664,2019,8668,Captain Marvel
17,3,6513120,2019,8679,Fighting with My Family
18,3,8155288,2019,8684,Happy Death Day 2U
19,1,1488606,2019,8687,Triple Frontier
20,3,0448115,2019,8693,Shazam!
21,1,2395469,2019,8699,Gully Boy
22,3,8734872,2019,8709,My Little Pony: Equestria Girls: Spring Breakdown
23,3,8075260,2019,8717,Someone Great
24,3,9670282,2019,8796,Zoombies 2
25,3,4154796,2019,8720,Avengers: Endgame
26,3,4913966,2019,8722,"Curse of La Llorona, The"
27,2,8858104,2019,8725,Guava Island
28,3,7315484,2019,8727,"Silence, The"
29,3,5941692,2019,8728,Miss Bala
30,3,5884052,2019,8740,Pokemon Detective Pikachu
31,3,1298644,2019,8741,"Hustle, The"
32,3,9024106,2019,8742,Unplanned
33,3,8169446,2019,8744,Wine Country
34,3,1489887,2019,8747,Booksmart
35,3,6139732,2019,8750,Aladdin
36,3,8323104,2019,8753,Nancy Drew and the Hidden Staircase
37,1,6146586,2019,8755,John Wick: Chapter 3 - Parabellum
38,3,7958736,2019,8758,Ma
39,3,7374948,2019,8760,Always Be My Maybe
40,3,6565702,2019,8761,Dark Phoenix
41,2,8201170,2019,8763,"Perfect Date, The"
42,3,6107548,2019,8764,Late Night
43,2,7752126,2019,8765,Brightburn
44,3,3741700,2019,8766,Godzilla: King of the Monsters
45,3,6292852,2019,8767,I Am Mother
46,3,6751668,2019,8768,Gisaengchung
47,3,1979376,2019,8772,Toy Story 4
48,3,8350360,2019,8775,Annabelle Comes Home
49,3,9075008,2019,8777,Effigy &#150;&nbsp;Poison and the City
50,1,10324144,2019,8778,Article 15
51,2,6590856,2019,9186,Pause
52,1,6320628,2019,8781,Spider-Man: Far from Home
53,3,8772262,2019,8784,Midsommar
54,3,7456310,2019,8786,Anna
55,3,6105098,2019,8790,"Lion King, The"
56,3,8364368,2019,8791,Crawl
57,3,7131622,2019,8804,Once Upon a Time ... In Hollywood
58,3,8484012,2019,8805,Sword of Trust
59,3,8637428,2019,8807,"Farewell, The"
60,2,6806448,2019,8808,Fast &amp; Furious Presents: Hobbs &amp; Shaw
61,3,4426738,2019,8810,Animals
62,3,6472976,2019,8813,Five Feet Apart
63,3,7979492,2019,8814,Kim Possible
64,2,1478839,2019,8815,"Art of Racing in the Rain, The"
65,3,8022928,2019,8816,Descendants 3
66,3,0837563,2019,8824,Pet Sematary
67,2,3361792,2019,8825,Tolkien
68,3,8743064,2019,8834,See You Yesterday
69,2,8169552,2019,8835,Turma da Monica: Lacos
70,3,2365580,2019,8836,"Where&#39;d You Go, Bernadette"
71,3,6450804,2019,8838,Terminator: Dark Fate
72,3,7671064,2019,8840,Brittany Runs A Marathon
73,3,7547410,2019,8841,Dora and the Lost City of Gold
74,0,8499102,2019,8845,Jawline
75,3,10515852,2019,8850,Steven Universe: The Movie
76,1,7711764,2019,8852,Pentagram
77,3,9252508,2019,8853,Tall Girl
78,1,2935510,2019,8855,Ad Astra
79,3,2762506,2019,8857,Bacurau
80,3,7798634,2019,8861,Ready or Not
81,3,4682804,2019,8862,Lucy in the Sky
82,3,7286456,2019,8863,Joker
83,3,9239816,2019,8864,Canceled
84,3,6398184,2019,8866,Downton Abbey
85,3,3387520,2019,8867,Scary Stories to Tell in the Dark
86,1,1025100,2019,8868,Gemini Man
87,0,1950186,2019,8869,Ford v Ferrari
88,3,5503686,2019,8870,Hustlers
89,3,4777008,2019,8876,Maleficent: Mistress of Evil
90,3,5865326,2019,8877,"Laundromat, The"
91,1,7984766,2019,8881,"King, The"
92,3,8613070,2019,8882,Portrait of a Lady on Fire
93,3,8367814,2019,8982,"Gentlemen, The"
94,1,7634968,2019,8884,What Men Want
95,3,4126476,2019,8886,After
96,3,6324278,2019,8889,Abominable
97,3,4648786,2019,8892,Harriet
98,2,7653254,2019,8893,Marriage Story
99,0,7984734,2019,8894,"Lighthouse, The"
100,3,7349950,2019,8895,It Chapter 2
101,3,8623904,2019,8899,Last Christmas
102,3,7616148,2019,8900,Luce
103,1,4729430,2019,8901,Klaus
104,3,10060094,2019,8902,"Knight Before Christmas, The"
105,3,2584384,2019,8903,Jojo Rabbit
106,1,6924650,2019,8904,Midway
107,3,5033998,2019,8905,Charlie&#39;s Angels
108,3,8946378,2019,8907,Knives Out
109,3,0385887,2019,8910,Motherless Brooklyn
110,2,3224458,2019,8911,A Beautiful Day in the Neighborhood
111,3,7311036,2019,8912,Clementine
112,2,8722346,2019,8913,Queen &amp; Slim
113,3,5606664,2019,8914,Doctor Sleep
