title,year,rating,dubious,imdbid
Rim of the World,2019,0,0,tt8179388
We Are Little Zombies,2019,2,0,tt9358120
"Kid Who Would Be King, The",2019,1,0,tt6811018
Polar,2019,2,0,tt4139588
Close,2019,3,0,tt5316540
Serenity,2019,1,0,tt6476140
Soni,2019,3,0,tt6078866
Us,2019,3,0,tt6857112
Cold Pursuit,2019,1,0,tt5719748
"Wandering Earth (Liu Lang Di Qiu), The",2019,3,1,tt7605074
Alita: Battle Angel,2019,3,0,tt437086
"Lego Movie 2: The Second Part, The",2019,3,0,tt3513498
American Woman,2019,3,0,tt9109492
Le chant du loup,2019,0,0,tt7458762
Isn&#39;t It Romantic,2019,3,0,tt2452244
Captain Marvel,2019,3,0,tt4154664
Fighting with My Family,2019,3,0,tt6513120
Happy Death Day 2U,2019,3,0,tt8155288
Triple Frontier,2019,1,0,tt1488606
Shazam!,2019,3,0,tt448115
Gully Boy,2019,1,1,tt2395469
My Little Pony: Equestria Girls: Spring Breakdown,2019,3,0,tt8734872
Someone Great,2019,3,0,tt8075260
Zoombies 2,2019,3,0,tt9670282
Avengers: Endgame,2019,3,0,tt4154796
"Curse of La Llorona, The",2019,3,0,tt4913966
Guava Island,2019,2,0,tt8858104
"Silence, The",2019,3,0,tt7315484
Miss Bala,2019,3,0,tt5941692
Pokemon Detective Pikachu,2019,3,0,tt5884052
"Hustle, The",2019,3,1,tt1298644
Unplanned,2019,3,0,tt9024106
Wine Country,2019,3,0,tt8169446
Booksmart,2019,3,0,tt1489887
Aladdin,2019,3,0,tt6139732
Nancy Drew and the Hidden Staircase,2019,3,0,tt8323104
John Wick: Chapter 3 - Parabellum,2019,1,0,tt6146586
Ma,2019,3,0,tt7958736
Always Be My Maybe,2019,3,0,tt7374948
Dark Phoenix,2019,3,0,tt6565702
"Perfect Date, The",2019,2,0,tt8201170
Late Night,2019,3,0,tt6107548
Brightburn,2019,2,0,tt7752126
Godzilla: King of the Monsters,2019,3,0,tt3741700
I Am Mother,2019,3,0,tt6292852
Gisaengchung,2019,3,1,tt6751668
Toy Story 4,2019,3,0,tt1979376
Annabelle Comes Home,2019,3,0,tt8350360
Effigy &#150;&nbsp;Poison and the City,2019,3,0,tt9075008
Article 15,2019,1,0,tt10324144
Pause,2019,2,0,tt6590856
Spider-Man: Far from Home,2019,1,0,tt6320628
Midsommar,2019,3,0,tt8772262
Anna,2019,3,0,tt7456310
"Lion King, The",2019,3,0,tt6105098
Crawl,2019,3,1,tt8364368
Once Upon a Time ... In Hollywood,2019,3,0,tt7131622
Sword of Trust,2019,3,0,tt8484012
"Farewell, The",2019,3,0,tt8637428
Fast &amp; Furious Presents: Hobbs &amp; Shaw,2019,2,1,tt6806448
Animals,2019,3,0,tt4426738
Five Feet Apart,2019,3,0,tt6472976
Kim Possible,2019,3,0,tt7979492
"Art of Racing in the Rain, The",2019,2,0,tt1478839
Descendants 3,2019,3,0,tt8022928
Pet Sematary,2019,3,1,tt837563
Tolkien,2019,2,0,tt3361792
See You Yesterday,2019,3,0,tt8743064
Turma da Monica: Lacos,2019,2,0,tt8169552
"Where&#39;d You Go, Bernadette",2019,3,0,tt2365580
Terminator: Dark Fate,2019,3,0,tt6450804
Brittany Runs A Marathon,2019,3,0,tt7671064
Dora and the Lost City of Gold,2019,3,0,tt7547410
Jawline,2019,0,0,tt8499102
Steven Universe: The Movie,2019,3,0,tt10515852
Pentagram,2019,1,0,tt7711764
Tall Girl,2019,3,0,tt9252508
Ad Astra,2019,1,0,tt2935510
Bacurau,2019,3,1,tt2762506
Ready or Not,2019,3,0,tt7798634
Lucy in the Sky,2019,3,0,tt4682804
Joker,2019,3,1,tt7286456
Canceled,2019,3,0,tt9239816
Downton Abbey,2019,3,0,tt6398184
Scary Stories to Tell in the Dark,2019,3,0,tt3387520
Gemini Man,2019,1,0,tt1025100
Ford v Ferrari,2019,0,0,tt1950186
Hustlers,2019,3,0,tt5503686
Maleficent: Mistress of Evil,2019,3,0,tt4777008
"Laundromat, The",2019,3,0,tt5865326
"King, The",2019,1,0,tt7984766
Portrait of a Lady on Fire,2019,3,0,tt8613070
"Gentlemen, The",2019,3,0,tt8367814
What Men Want,2019,1,0,tt7634968
After,2019,3,0,tt4126476
Abominable,2019,3,0,tt6324278
Harriet,2019,3,0,tt4648786
Marriage Story,2019,2,0,tt7653254
"Lighthouse, The",2019,0,0,tt7984734
It Chapter 2,2019,3,0,tt7349950
Last Christmas,2019,3,0,tt8623904
Luce,2019,3,0,tt7616148
Klaus,2019,1,0,tt4729430
"Knight Before Christmas, The",2019,3,0,tt10060094
Jojo Rabbit,2019,3,0,tt2584384
Midway,2019,1,0,tt6924650
Charlie&#39;s Angels,2019,3,0,tt5033998
Knives Out,2019,3,0,tt8946378
Motherless Brooklyn,2019,3,0,tt385887
A Beautiful Day in the Neighborhood,2019,2,0,tt3224458
Clementine,2019,3,0,tt7311036
Queen &amp; Slim,2019,2,1,tt8722346
Doctor Sleep,2019,3,0,tt5606664
"Irishman, The",2019,1,0,tt1302006
Frozen 2,2019,3,0,tt4520988
Unbelievable,2019,3,0,tt7909970
Les Miserables,2019,0,0,tt10199590
Zombieland: Double Tap,2019,3,0,tt1560220
Tekst,2019,1,1,tt10767426
Satanic Panic,2019,3,0,tt8510350
Star Wars: Episode IX - The Rise of Skywalker,2019,3,0,tt2527338
Yesterday,2019,1,0,tt8079248
Her Smell,2019,3,0,tt7942742
Cats,2019,3,0,tt5697572
Rambo: Last Blood,2019,2,1,tt1206885
Good Boys,2019,3,0,tt7343762
A Dog&#39;s Journey,2019,3,0,tt8385474
Monos,2019,3,0,tt6062774
Little Women,2019,3,0,tt3281548
"Aeronauts, The",2019,3,0,tt6141246
Uncut Gems,2019,2,1,tt5727208
Sorry We Missed You,2019,3,0,tt8359816
"Goldfinch, The",2019,1,0,tt3864056
"Two Popes, The",2019,1,0,tt8404614
1917,2019,0,0,tt8579674
Just Mercy,2019,2,0,tt4916630
Little Joe,2019,3,0,tt9204204
Anya,2019,3,0,tt7488288
For Sama,2019,3,0,tt9617456
Troop Zero,2019,3,0,tt2404465
Cosmos,2019,0,0,tt4477292
Jeanne,2019,3,0,tt8669356
"Shiny Shrimps, The",2019,0,0,tt6918220
Une fille facile,2019,3,0,tt9632590
In the Tall Grass,2019,1,0,tt4687108
El Camino: A Breaking Bad Movie,2019,1,0,tt9243946
Weathering with You,2019,3,0,tt9426210
Jumanji: The Next Level,2019,1,0,tt7975244
O Filme do Bruno Aleixo,2019,0,0,tt10244726
Paddleton,2019,0,0,tt8041276
Seberg,2019,3,0,tt1780967
Straight Up,2019,3,0,tt8855960
Can You Keep A Secret?,2019,3,0,tt8707922
i lost my body,2019,0,0,tt9806192
"Platform, The",2019,1,0,tt8228288
Iron Sky: The Coming Race,2019,3,0,tt3038708
"Specials, The",2019,1,0,tt8655470
Color Out of Space,2019,2,0,tt5073642
Otherhood,2019,3,0,tt4180560
7500,2019,1,0,tt6436726
Secret Obsession,2019,1,0,tt9419834
HELEN,2019,1,0,tt10308528
Spies in Disguise,2019,3,0,tt5814534
Saand Ki Aankh,2019,3,0,tt8108206
Missing Link,2019,1,0,tt6348138
Murder Mystery,2019,1,1,tt1618434
Bit,2019,3,0,tt8425034
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,2019,3,0,tt8659948
Bombshells and Dollies,2019,3,0,tt6065988
"Dead Don&#39;t Die, The",2019,3,0,tt8695030
"Report, The",2019,0,0,tt8236336
Furie,2019,3,0,tt9412268
Rocketman,2019,3,1,tt2066051
Under The Silver Lake,2019,0,0,tt5691670
"Vast of Night, The",2019,3,0,tt6803046
Long Shot,2019,3,0,tt2139881
Guns Akimbo,2019,3,0,tt6902676
"Last Full Measure, The",2019,1,0,tt783640
Bad Education,2019,3,0,tt8206668
Vivarium,2019,3,0,tt8368406
Before You Know It,2019,3,0,tt8856090
"Ground Beneath My Feet, The",2019,3,0,tt7902124
"Beach Bum, The",2019,1,0,tt6511932
Une Paire de Jumelles,2019,3,0,tt9217514
"Body Remembers When The World Broke Open, The",2019,3,0,tt8230872
Saint Frances,2019,3,0,tt9016016
Frankie,2019,3,0,tt8019694
La Peor de Mis Bodas 2,2019,3,0,tt8932338
Top End Wedding,2019,3,0,tt7555072
"hockey girls, The",2019,3,0,tt9486226
Ip Man 4: The Finale,2019,3,0,tt2076298
Babyteeth,2019,3,0,tt8399664
Mercy Black,2019,3,0,tt8758086
"Addams Family, The",2019,3,0,tt1620981
"A Dark, Dark Man",2019,1,0,tt10867768
K-12,2019,3,0,tt10521814
Come to Daddy,2019,1,0,tt8816194
"Legend of Hei (Luo Xiao Hei zhan ji), The",2019,0,0,tt10734928
"Yes, God, Yes",2019,3,0,tt8949056
