,title,year,rating,dubious,imdbid
0,Rim of the World,2019,0,0,8179388
1,How to Train Your Dragon: The Hidden World,2019,2,0,2386490
2,We Are Little Zombies,2019,2,0,9358120
3,"Kid Who Would Be King, The",2019,1,0,6811018
4,Polar,2019,2,0,4139588
5,Close,2019,3,0,5316540
6,Serenity,2019,1,0,6476140
7,Soni,2019,3,0,6078866
8,Us,2019,3,0,6857112
9,Cold Pursuit,2019,1,0,5719748
10,"Wandering Earth (Liu Lang Di Qiu), The",2019,3,1,7605074
11,Alita: Battle Angel,2019,3,0,437086
12,"Lego Movie 2: The Second Part, The",2019,3,0,3513498
13,American Woman,2019,3,0,9109492
14,Le chant du loup,2019,0,0,7458762
15,Isn&#39;t It Romantic,2019,3,0,2452244
16,Captain Marvel,2019,3,0,4154664
17,Fighting with My Family,2019,3,0,6513120
18,Happy Death Day 2U,2019,3,0,8155288
19,Triple Frontier,2019,1,0,1488606
20,Shazam!,2019,3,0,448115
21,Gully Boy,2019,1,1,2395469
22,My Little Pony: Equestria Girls: Spring Breakdown,2019,3,0,8734872
23,Someone Great,2019,3,0,8075260
24,Zoombies 2,2019,3,0,9670282
25,Avengers: Endgame,2019,3,0,4154796
26,"Curse of La Llorona, The",2019,3,0,4913966
27,Guava Island,2019,2,0,8858104
28,"Silence, The",2019,3,0,7315484
29,Miss Bala,2019,3,0,5941692
30,Pokemon Detective Pikachu,2019,3,0,5884052
31,"Hustle, The",2019,3,1,1298644
32,Unplanned,2019,3,0,9024106
33,Wine Country,2019,3,0,8169446
34,Booksmart,2019,3,0,1489887
35,Aladdin,2019,3,0,6139732
36,Nancy Drew and the Hidden Staircase,2019,3,0,8323104
37,John Wick: Chapter 3 - Parabellum,2019,1,0,6146586
38,Ma,2019,3,0,7958736
39,Always Be My Maybe,2019,3,0,7374948
40,Dark Phoenix,2019,3,0,6565702
41,"Perfect Date, The",2019,2,0,8201170
42,Late Night,2019,3,0,6107548
43,Brightburn,2019,2,0,7752126
44,Godzilla: King of the Monsters,2019,3,0,3741700
45,I Am Mother,2019,3,0,6292852
46,Gisaengchung,2019,3,1,6751668
47,Toy Story 4,2019,3,0,1979376
48,Annabelle Comes Home,2019,3,0,8350360
49,Effigy &#150;&nbsp;Poison and the City,2019,3,0,9075008
50,Article 15,2019,1,0,10324144
51,Pause,2019,2,0,6590856
52,Spider-Man: Far from Home,2019,1,0,6320628
53,Midsommar,2019,3,0,8772262
54,Anna,2019,3,0,7456310
55,"Lion King, The",2019,3,0,6105098
56,Crawl,2019,3,1,8364368
57,Once Upon a Time ... In Hollywood,2019,3,0,7131622
58,Sword of Trust,2019,3,0,8484012
59,"Farewell, The",2019,3,0,8637428
60,Fast &amp; Furious Presents: Hobbs &amp; Shaw,2019,2,1,6806448
61,Animals,2019,3,0,4426738
62,Five Feet Apart,2019,3,0,6472976
63,Kim Possible,2019,3,0,7979492
64,"Art of Racing in the Rain, The",2019,2,0,1478839
65,Descendants 3,2019,3,0,8022928
66,Pet Sematary,2019,3,1,837563
67,Tolkien,2019,2,0,3361792
68,See You Yesterday,2019,3,0,8743064
69,Turma da Monica: Lacos,2019,2,0,8169552
70,"Where&#39;d You Go, Bernadette",2019,3,0,2365580
71,Terminator: Dark Fate,2019,3,0,6450804
72,Brittany Runs A Marathon,2019,3,0,7671064
73,Dora and the Lost City of Gold,2019,3,0,7547410
74,Jawline,2019,0,0,8499102
75,Steven Universe: The Movie,2019,3,0,10515852
76,Pentagram,2019,1,0,7711764
77,Tall Girl,2019,3,0,9252508
78,Ad Astra,2019,1,0,2935510
79,Bacurau,2019,3,1,2762506
80,Ready or Not,2019,3,0,7798634
81,Lucy in the Sky,2019,3,0,4682804
82,Joker,2019,3,1,7286456
83,Canceled,2019,3,0,9239816
84,Downton Abbey,2019,3,0,6398184
85,Scary Stories to Tell in the Dark,2019,3,0,3387520
86,Gemini Man,2019,1,0,1025100
87,Ford v Ferrari,2019,0,0,1950186
88,Hustlers,2019,3,0,5503686
89,Maleficent: Mistress of Evil,2019,3,0,4777008
90,"Laundromat, The",2019,3,0,5865326
91,"King, The",2019,1,0,7984766
92,Portrait of a Lady on Fire,2019,3,0,8613070
93,"Gentlemen, The",2019,3,0,8367814
94,What Men Want,2019,1,0,7634968
95,After,2019,3,0,4126476
96,Abominable,2019,3,0,6324278
97,Harriet,2019,3,0,4648786
98,Marriage Story,2019,2,0,7653254
99,"Lighthouse, The",2019,0,0,7984734
100,It Chapter 2,2019,3,0,7349950
101,Last Christmas,2019,3,0,8623904
102,Luce,2019,3,0,7616148
103,Klaus,2019,1,0,4729430
104,"Knight Before Christmas, The",2019,3,0,10060094
105,Jojo Rabbit,2019,3,0,2584384
106,Midway,2019,1,0,6924650
107,Charlie&#39;s Angels,2019,3,0,5033998
108,Knives Out,2019,3,0,8946378
109,Motherless Brooklyn,2019,3,0,385887
110,A Beautiful Day in the Neighborhood,2019,2,0,3224458
111,Clementine,2019,3,0,7311036
112,Queen &amp; Slim,2019,2,1,8722346
113,Doctor Sleep,2019,3,0,5606664
114,"Irishman, The",2019,1,0,1302006
115,Frozen 2,2019,3,0,4520988
116,Unbelievable,2019,3,0,7909970
117,Les Miserables,2019,0,0,10199590
118,Zombieland: Double Tap,2019,3,0,1560220
119,Tekst,2019,1,1,10767426
120,Satanic Panic,2019,3,0,8510350
121,Star Wars: Episode IX - The Rise of Skywalker,2019,3,0,2527338
122,Yesterday,2019,1,0,8079248
123,Her Smell,2019,3,0,7942742
124,Cats,2019,3,0,5697572
125,Rambo: Last Blood,2019,2,1,1206885
126,Good Boys,2019,3,0,7343762
127,A Dog&#39;s Journey,2019,3,0,8385474
128,Monos,2019,3,0,6062774
129,Little Women,2019,3,0,3281548
130,"Aeronauts, The",2019,3,0,6141246
131,Uncut Gems,2019,2,1,5727208
132,Sorry We Missed You,2019,3,0,8359816
133,"Goldfinch, The",2019,1,0,3864056
134,"Two Popes, The",2019,1,0,8404614
135,1917,2019,0,0,8579674
136,Just Mercy,2019,2,0,4916630
137,Little Joe,2019,3,0,9204204
138,Anya,2019,3,0,7488288
139,For Sama,2019,3,0,9617456
140,Troop Zero,2019,3,0,2404465
141,Cosmos,2019,0,0,4477292
142,Jeanne,2019,3,0,8669356
143,"Shiny Shrimps, The",2019,0,0,6918220
144,Une fille facile,2019,3,0,9632590
145,In the Tall Grass,2019,1,0,4687108
146,El Camino: A Breaking Bad Movie,2019,1,0,9243946
147,Weathering with You,2019,3,0,9426210
148,Jumanji: The Next Level,2019,1,0,7975244
149,O Filme do Bruno Aleixo,2019,0,0,10244726
150,Paddleton,2019,0,0,8041276
151,Seberg,2019,3,0,1780967
152,Straight Up,2019,3,0,8855960
153,Can You Keep A Secret?,2019,3,0,8707922
154,i lost my body,2019,0,0,9806192
155,"Platform, The",2019,1,0,8228288
156,Iron Sky: The Coming Race,2019,3,0,3038708
157,"Specials, The",2019,1,0,8655470
158,Color Out of Space,2019,2,0,5073642
159,Otherhood,2019,3,0,4180560
160,7500,2019,1,0,6436726
161,Secret Obsession,2019,1,0,9419834
162,HELEN,2019,1,0,10308528
163,Spies in Disguise,2019,3,0,5814534
164,Saand Ki Aankh,2019,3,0,8108206
165,Missing Link,2019,1,0,6348138
166,Murder Mystery,2019,1,1,1618434
167,Bit,2019,3,0,8425034
168,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,2019,3,0,8659948
169,Bombshells and Dollies,2019,3,0,6065988
170,"Dead Don&#39;t Die, The",2019,3,0,8695030
171,"Report, The",2019,0,0,8236336
172,Furie,2019,3,0,9412268
173,Rocketman,2019,3,1,2066051
174,Under The Silver Lake,2019,0,0,5691670
175,"Vast of Night, The",2019,3,0,6803046
176,Long Shot,2019,3,0,2139881
177,Guns Akimbo,2019,3,0,6902676
178,"Last Full Measure, The",2019,1,0,783640
179,Bad Education,2019,3,0,8206668
180,Vivarium,2019,3,0,8368406
181,Before You Know It,2019,3,0,8856090
182,"Ground Beneath My Feet, The",2019,3,0,7902124
183,"Beach Bum, The",2019,1,0,6511932
184,Une Paire de Jumelles,2019,3,0,9217514
185,"Body Remembers When The World Broke Open, The",2019,3,0,8230872
186,Saint Frances,2019,3,0,9016016
187,Frankie,2019,3,0,8019694
188,La Peor de Mis Bodas 2,2019,3,0,8932338
189,Top End Wedding,2019,3,0,7555072
190,"hockey girls, The",2019,3,0,9486226
191,Ip Man 4: The Finale,2019,3,0,2076298
192,Babyteeth,2019,3,0,8399664
193,Mercy Black,2019,3,0,8758086
194,"Addams Family, The",2019,3,0,1620981
195,"A Dark, Dark Man",2019,1,0,10867768
196,K-12,2019,3,0,10521814
197,Come to Daddy,2019,1,0,8816194
198,"Legend of Hei (Luo Xiao Hei zhan ji), The",2019,0,0,10734928
199,"Yes, God, Yes",2019,3,0,8949056
200,"Kitchen, The",2019,3,0,5822564
201,Wonder Park,2019,3,0,6428676
202,A.M.I.,2019,3,0,8712750
203,A New Christmas,2019,1,0,9201720
204,Richard Jewell,2019,3,0,3513548
205,My Hero Academia: Heroes Rising,2019,3,0,11107074
206,Maria,2019,3,0,7594584
207,47 Meters Down: Uncaged,2019,3,0,7329656
208,Sound of Metal,2019,1,0,5363618
209,"Assistant, The",2019,3,0,9000224
210,"Peanut Butter Falcon, The",2019,1,0,4364194
211,"Personal History of David Copperfield, The",2019,3,0,6439020
212,Good Kisser,2019,3,0,9602378
213,Fahim,2019,1,0,4693588
214,"Final Level: Escaping Rancala, The",2019,3,0,11334312
215,In the Shadow of the Moon,2019,1,0,8110640
216,After the Wedding,2019,3,0,7985692
217,Quebramar,2019,3,0,11621206
218,Saga of Tanya the Evil - The Movie,2019,3,1,9507276
219,Men in Black: International,2019,3,0,2283336
220,How to Train Your Dragon: The Hidden World,2019,3,0,2386490
221,Code 8,2019,1,0,6259380
222,Papicha,2019,3,0,9522080
223,Lucky Grandma,2019,3,0,10011336
224,Pokemon: Mewtwo Strikes Back - Evolution,2019,3,0,8856470
225,A Call to Spy,2019,3,0,7698468
226,Stray,2019,3,0,6294226
227,"Highwaymen, The",2019,1,0,1860242
228,"Souvenir, The",2019,3,0,6920356
229,Performaniax,2019,3,0,8892756
230,Horrible Histories: The Movie - Rotten Romans,2019,3,0,7715070
231,Angel Has Fallen,2019,1,0,6189022
232,Les Parfums,2019,3,0,11748354
233,Carmilla,2019,3,0,7280218
234,Blood Machines,2019,3,1,6197070
235,Katharine Hepburn,2019,3,0,15324860
236,Descendants 3,2019,3,0,8022928
237,&quot;The Good Place&quot; The Funeral to End All Funerals,2019,3,0,11028798
238,Kim Ji-young: Born 198,2019,3,0,11052808
239,White Snake,2019,3,0,9288776
240,"Cat and the Moon, The",2019,1,0,5360232
241,Marighella,2019,3,0,7825208
242,Bombshell,2019,3,0,6394270
243,Judy,2019,3,0,7549996
244,Soul,2020,3,0,2948372
245,"Marijuana Conspiracy , The",2020,3,0,8461042
246,Like a Boss,2020,3,0,7545266
247,Honey Boy,2020,0,0,8151874
248,"Rhythm Section, The",2020,2,0,7134096
249,"Turning, The",2020,3,0,7510346
250,Birds of Prey,2020,3,0,7713068
251,Platzspitzbaby,2020,3,0,9737798
252,Horse Girl,2020,3,0,11388406
253,Sonic the Hedgehog,2020,3,0,3794354
254,Minari,2020,3,0,10633456
255,Living Aims,2020,2,0,10752062
256,"Veil, The",2020,3,0,11895476
257,Onward,2020,3,0,7146812
258,All the Bright Places,2020,3,0,3907584
259,Lost Girls,2020,3,0,3111426
260,Zombies 2,2020,3,0,9766166
261,"Invisible Man, The",2020,3,0,1051906
262,Emma.,2020,3,0,9214832
263,Bad Boys For Life,2020,2,0,1502397
264,Blow the Man Down,2020,3,0,8299768
265,Stargirl,2020,3,0,4858674
266,Trolls World Tour,2020,3,0,6587640
267,My Spy,2020,3,0,8242084
268,Extraction,2020,3,0,8936646
269,"Half of It, The",2020,3,0,9683478
270,"Methodists, The",2020,3,0,12261880
271,18 Presents,2020,3,0,10816484
272,Scoob,2020,3,0,3152592
273,Shirley,2020,3,0,8430598
274,"last days of american crime, The",2020,0,0,1552211
275,"High Note, The",2020,3,0,9308382
276,"Hunt, The",2020,3,0,8244784
277,Never Rarely Sometimes Always,2020,3,0,7772582
278,Palm Springs,2020,3,0,9484998
279,"Old Guard, The",2020,3,0,7556122
280,Greyhound,2020,0,0,6048922
281,Tout simplement noir,2020,1,0,10426916
282,Artemis Fowl,2020,3,0,3089630
283,Legacy of Lies,2020,3,0,6834916
284,Hamilton,2020,3,0,8503618
285,Underwater,2020,3,0,5774060
286,Work It,2020,3,0,10276470
287,Tenet,2020,1,0,6723592
288,Bill &amp; Ted Face the Music,2020,3,0,1086064
289,Mulan,2020,3,0,4566758
290,Wolfwalkers,2020,3,1,5198068
291,Phineas and Ferb the Movie: Candace Against the Universe,2020,3,0,1817232
292,Sputnik,2020,0,0,11905962
293,Enola Holmes,2020,3,0,7846844
294,"New Mutants, The",2020,3,0,4682266
295,"King of Staten Island, The",2020,3,0,9686708
296,Unhinged,2020,3,0,10059518
297,Eurovision Song Contest: The Story of Fire Saga,2020,3,1,8580274
298,Druk,2020,1,0,10288566
299,Summerland,2020,1,0,6841122
300,"Trial of the Chicago 7, The",2020,1,0,1070874
301,Bad Hair,2020,3,0,4798836
302,Scare Me,2020,1,0,10126434
303,Over the Moon,2020,3,0,7488208
304,"Stunt Double, The",2020,1,0,12841698
305,"Call, The",2020,3,0,10530176
306,Freaky,2020,3,0,10919380
307,Jiu Jitsu,2020,1,0,9624766
308,Ludo,2020,3,1,7212754
309,"Witches, The",2020,2,1,805647
310,Santana,2020,1,0,11769162
311,Godmothered,2020,3,0,11681250
312,Mariah Carey&#39;s Magical Christmas Special,2020,3,0,13017992
313,Fantasy Island,2020,3,0,983946
314,Host,2020,3,0,12749596
315,Relic,2020,3,0,9072352
316,"Prom, The",2020,3,0,10161886
317,Happiest Season,2020,3,0,8522006
318,Gretel &amp; Hansel,2020,3,0,9086228
319,"Croods: A New Age, The",2020,3,0,2850386
320,"Midnight Sky, The",2020,3,0,10539608
321,Wonder Woman 1984,2020,3,0,7126948
322,Borat Subsequent Moviefilm,2020,3,1,13143964
323,Superintelligence,2020,3,0,7178640
324,Herself,2020,3,0,9902160
325,News of the World,2020,3,0,6878306
326,Run Hide Fight,2020,3,0,11456054
327,Pieces of a Woman,2020,3,0,11161474
328,I&#39;m Your Woman,2020,3,0,10243992
329,Unpregnant,2020,3,0,10556022
330,Cadaver,2020,3,0,11284280
331,Train to Busan Presents: Peninsula,2020,3,0,8850222
332,Mank,2020,1,0,10618286
333,Breach,2020,1,0,9820556
334,Run,2020,3,1,8633478
335,Ma Rainey&#39;s Black Bottom,2020,3,0,10514222
336,Nomadland,2020,3,0,9770150
337,Promising Young Woman,2020,3,1,9620292
338,Ammonite,2020,3,0,7983894
339,I Care a Lot,2020,3,1,9893250
340,"Lost Husband, The",2020,3,0,4257940
341,Infamous,2020,3,0,7703924
342,Monster Hunter,2020,3,0,6475714
343,Penguin Bloom,2020,3,0,6317656
344,Deep Blue Sea 3,2020,1,0,11946300
345,"Courier, The",2020,3,1,8368512
346,Malmkrog,2020,3,0,10213380
347,Slaxx,2020,3,0,9741310
348,How to Be a Good Wife,2020,3,0,10441958
349,Love and Monsters,2020,2,0,2222042
350,From Stress to Happiness,2020,1,0,13079086
351,Misbehaviour,2020,3,1,9148706
352,Summer of 85,2020,1,0,10457128
353,"Retreat, The",2020,0,0,12198524
354,Breath,2020,0,0,11771622
355,Shadow in the Cloud,2020,0,0,9691136
356,Holidate,2020,3,0,9866072
357,My Salinger Year,2020,3,0,2222052
358,Friend of the World,2020,3,0,6074542
359,one night in san diego,2020,2,0,9765226
360,One Night in Miami...,2020,2,0,10612922
361,Normal People,2020,3,1,9059760
362,A Quiet Place Part II,2020,3,1,8332922
363,To All the Boys: P.S. I Still Love You,2020,3,0,9354842
364,Mainstream,2020,3,0,9224288
365,"Evil Next Door, The",2020,3,1,11320192
366,Motherland: Fort Salem,2020,3,0,9900092
367,An American Pickle,2020,1,0,9059704
368,You Will Never Be Back,2020,3,0,13266132
369,Iskioma,2020,0,0,13152234
370,Jiang Ziya: Legend of Deification,2020,2,0,11177804
371,Geenland,2020,3,0,7737786
372,"Craft: Legacy, The",2020,3,0,4685762
373,"world to come, The",2020,3,0,9738716
374,I&#39;m Thinking of Ending Things,2020,0,1,7939766
375,Dolittle,2020,3,0,6673612
376,Save Yourselves!,2020,3,1,7873348
377,Demon Slayer: Mugen Train,2020,0,1,11032374
378,"Tomorrow War, The",2021,2,0,9777666
379,Finding &#39;Ohana,2021,3,0,10332588
380,"Dry, The",2021,3,1,5144174
381,High Ground,2021,2,1,9286908
382,Raya and the Last Dragon,2021,3,0,5109280
383,Sweetheart,2021,3,0,10919362
384,Judas and The Black Messiah,2021,2,0,9784798
385,Coming 2 America,2021,3,0,6802400
386,Moxie,2021,3,0,6432466
387,Cherry,2021,0,0,9130508
388,Sentinelle,2021,3,0,11734264
389,Zack Snyder&#39;s Justice League,2021,3,0,12361974
390,"United States vs. Billie Holiday, The",2021,3,0,8521718
391,Willy&#39;s Wonderland,2021,3,0,8114980
392,"Mauritanian, The",2021,3,1,4761112
393,Nobody,2021,1,0,7888964
394,Thunder Force,2021,3,0,10121392
395,Cousins,2021,3,0,10483044
396,Ajeeb Daastaans,2021,3,0,14091818
397,Stowaway,2021,3,0,9203694
