,title,year,rating,dubious,imdbid
0,Rim of the World,2019,0,0,8179388
1,We Are Little Zombies,2019,2,0,9358120
2,"Kid Who Would Be King, The",2019,1,0,6811018
3,Polar,2019,2,0,4139588
4,Close,2019,3,0,5316540
5,Serenity,2019,1,0,6476140
6,Soni,2019,3,0,6078866
7,Us,2019,3,0,6857112
8,Cold Pursuit,2019,1,0,5719748
9,"Wandering Earth (Liu Lang Di Qiu), The",2019,3,1,7605074
10,Alita: Battle Angel,2019,3,0,437086
11,"Lego Movie 2: The Second Part, The",2019,3,0,3513498
12,American Woman,2019,3,0,9109492
13,Le chant du loup,2019,0,0,7458762
14,Isn&#39;t It Romantic,2019,3,0,2452244
15,Captain Marvel,2019,3,0,4154664
16,Fighting with My Family,2019,3,0,6513120
17,Happy Death Day 2U,2019,3,0,8155288
18,Triple Frontier,2019,1,0,1488606
19,Shazam!,2019,3,0,448115
20,Gully Boy,2019,1,1,2395469
21,My Little Pony: Equestria Girls: Spring Breakdown,2019,3,0,8734872
22,Someone Great,2019,3,0,8075260
23,Zoombies 2,2019,3,0,9670282
24,Avengers: Endgame,2019,3,0,4154796
25,"Curse of La Llorona, The",2019,3,0,4913966
26,Guava Island,2019,2,0,8858104
27,"Silence, The",2019,3,0,7315484
28,Miss Bala,2019,3,0,5941692
29,Pokemon Detective Pikachu,2019,3,0,5884052
30,"Hustle, The",2019,3,1,1298644
31,Unplanned,2019,3,0,9024106
32,Wine Country,2019,3,0,8169446
33,Booksmart,2019,3,0,1489887
34,Aladdin,2019,3,0,6139732
35,Nancy Drew and the Hidden Staircase,2019,3,0,8323104
36,John Wick: Chapter 3 - Parabellum,2019,1,0,6146586
37,Ma,2019,3,0,7958736
38,Always Be My Maybe,2019,3,0,7374948
39,Dark Phoenix,2019,3,0,6565702
40,"Perfect Date, The",2019,2,0,8201170
41,Late Night,2019,3,0,6107548
42,Brightburn,2019,2,0,7752126
43,Godzilla: King of the Monsters,2019,3,0,3741700
44,I Am Mother,2019,3,0,6292852
45,Gisaengchung,2019,3,1,6751668
46,Toy Story 4,2019,3,0,1979376
47,Annabelle Comes Home,2019,3,0,8350360
48,Effigy &#150;&nbsp;Poison and the City,2019,3,0,9075008
49,Article 15,2019,1,0,10324144
50,Pause,2019,2,0,6590856
51,Spider-Man: Far from Home,2019,1,0,6320628
52,Midsommar,2019,3,0,8772262
53,Anna,2019,3,0,7456310
54,"Lion King, The",2019,3,0,6105098
55,Crawl,2019,3,1,8364368
56,Once Upon a Time ... In Hollywood,2019,3,0,7131622
57,Sword of Trust,2019,3,0,8484012
58,"Farewell, The",2019,3,0,8637428
59,Fast &amp; Furious Presents: Hobbs &amp; Shaw,2019,2,1,6806448
60,Animals,2019,3,0,4426738
61,Five Feet Apart,2019,3,0,6472976
62,Kim Possible,2019,3,0,7979492
63,"Art of Racing in the Rain, The",2019,2,0,1478839
64,Descendants 3,2019,3,0,8022928
65,Pet Sematary,2019,3,1,837563
66,Tolkien,2019,2,0,3361792
67,See You Yesterday,2019,3,0,8743064
68,Turma da Monica: Lacos,2019,2,0,8169552
69,"Where&#39;d You Go, Bernadette",2019,3,0,2365580
70,Terminator: Dark Fate,2019,3,0,6450804
71,Brittany Runs A Marathon,2019,3,0,7671064
