,title,year,rating,dubious,imdbid,id,submitterid,date,visible,description,status,version
0,Rim of the World,2019,0,0,8179388,8749,17150,2019-05-25 10:09:06,1,,,
1,How to Train Your Dragon: The Hidden World,2019,2,0,2386490,8607,16820,2019-01-18 08:56:49,1,,,
2,We Are Little Zombies,2019,2,0,9358120,8609,16831,2019-01-21 19:14:04,1,,,
3,"Kid Who Would Be King, The",2019,1,0,6811018,8615,16840,2019-01-27 03:27:23,1,,,
4,Polar,2019,2,0,4139588,8616,16841,2019-01-27 07:03:25,1,,,
5,Close,2019,3,0,5316540,8617,16844,2019-01-27 17:35:57,1,,,
6,Serenity,2019,1,0,6476140,8620,16849,2019-01-29 03:22:43,1,,,
7,Soni,2019,3,0,6078866,8623,16853,2019-01-31 15:53:33,1,,,
8,Us,2019,3,0,6857112,8681,16990,2019-03-22 18:24:26,1,,,
9,Cold Pursuit,2019,1,0,5719748,8639,16880,2019-02-09 21:54:27,1,,,
10,"Wandering Earth (Liu Lang Di Qiu), The",2019,3,1,7605074,8640,16884,2019-02-11 16:31:08,1,,,
11,Alita: Battle Angel,2019,3,0,0437086,8642,16887,2019-02-14 19:31:07,1,,,
12,"Lego Movie 2: The Second Part, The",2019,3,0,3513498,8645,16900,2019-02-22 02:06:26,1,,,
13,American Woman,2019,3,0,9109492,8647,16902,2019-02-22 08:15:23,1,,,
14,Le chant du loup,2019,0,0,7458762,8655,16924,2019-02-27 15:40:56,1,,,
15,Isn&#39;t It Romantic,2019,3,0,2452244,8659,16932,2019-03-01 14:37:32,1,,,
16,Captain Marvel,2019,3,0,4154664,8668,16951,2019-03-07 23:09:59,1,,,
17,Fighting with My Family,2019,3,0,6513120,8679,16983,2019-03-19 17:12:02,1,,,
18,Happy Death Day 2U,2019,3,0,8155288,8684,17001,2019-03-25 01:26:00,1,,,
19,Triple Frontier,2019,1,0,1488606,8687,17007,2019-03-27 02:05:28,1,,,
20,Shazam!,2019,3,0,0448115,8693,17034,2019-04-03 12:02:32,1,,,
21,Gully Boy,2019,1,1,2395469,8699,17048,2019-04-09 13:07:27,1,,,
22,My Little Pony: Equestria Girls: Spring Breakdown,2019,3,0,8734872,8709,17068,2019-04-18 03:06:21,1,,,
23,Someone Great,2019,3,0,8075260,8717,17082,2019-04-24 00:03:59,1,,,
24,Zoombies 2,2019,3,0,9670282,8796,17265,2019-07-24 21:48:37,1,,,
25,Avengers: Endgame,2019,3,0,4154796,8720,17090,2019-04-25 11:11:58,1,,,
26,"Curse of La Llorona, The",2019,3,0,4913966,8722,17096,2019-04-27 03:57:31,1,,,
27,Guava Island,2019,2,0,8858104,8725,17101,2019-04-29 23:51:56,1,,,
28,"Silence, The",2019,3,0,7315484,8727,17103,2019-04-29 23:57:29,1,,,
29,Miss Bala,2019,3,0,5941692,8728,17104,2019-04-30 00:01:11,1,,,
30,Pokemon Detective Pikachu,2019,3,0,5884052,8740,17132,2019-05-11 04:54:14,1,,,
31,"Hustle, The",2019,3,1,1298644,8741,17134,2019-05-11 17:50:33,1,,,
32,Unplanned,2019,3,0,9024106,8742,17135,2019-05-11 23:55:50,1,,,
33,Wine Country,2019,3,0,8169446,8744,17141,2019-05-14 23:53:45,1,,,
34,Booksmart,2019,3,0,1489887,8747,17146,2019-05-20 20:07:18,1,,,
35,Aladdin,2019,3,0,6139732,8750,17151,2019-05-25 11:41:18,1,,,
36,Nancy Drew and the Hidden Staircase,2019,3,0,8323104,8753,17158,2019-05-28 00:22:03,1,,,
37,John Wick: Chapter 3 - Parabellum,2019,1,0,6146586,8755,17161,2019-05-29 07:30:54,1,,,
38,Ma,2019,3,0,7958736,8758,17170,2019-06-01 19:02:54,1,,,
39,Always Be My Maybe,2019,3,0,7374948,8760,17177,2019-06-05 06:40:32,1,,,
40,Dark Phoenix,2019,3,0,6565702,8761,17180,2019-06-08 14:33:55,1,,,
41,"Perfect Date, The",2019,2,0,8201170,8763,17189,2019-06-13 02:03:57,1,,,
42,Late Night,2019,3,0,6107548,8764,17190,2019-06-13 14:18:37,1,,,
43,Brightburn,2019,2,0,7752126,8765,17193,2019-06-16 01:17:57,1,,,
44,Godzilla: King of the Monsters,2019,3,0,3741700,8766,17195,2019-06-17 00:54:26,1,,,
45,I Am Mother,2019,3,0,6292852,8767,17197,2019-06-18 07:48:18,1,,,
46,Gisaengchung,2019,3,1,6751668,8768,17199,2019-06-21 10:33:22,1,,,
47,Toy Story 4,2019,3,0,1979376,8772,17204,2019-06-25 14:34:34,1,,,
48,Annabelle Comes Home,2019,3,0,8350360,8775,17213,2019-06-30 22:11:45,1,,,
49,Effigy &#150;&nbsp;Poison and the City,2019,3,0,9075008,8777,17217,2019-07-01 20:42:13,1,,,
50,Article 15,2019,1,0,10324144,8778,17219,2019-07-03 04:39:21,1,,,
51,Pause,2019,2,0,6590856,9186,18128,2020-06-30 02:32:53,1,,,
52,Spider-Man: Far from Home,2019,1,0,6320628,8781,17229,2019-07-10 03:01:13,1,,,
