Index,year_film,category,name,film,winner
0,2019,ACTOR IN A LEADING ROLE,Antonio Banderas,Pain and Glory,False
1,2019,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,Once upon a Time...in Hollywood,False
2,2019,ACTOR IN A LEADING ROLE,Adam Driver,Marriage Story,False
3,2019,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Joker,True
4,2019,ACTOR IN A LEADING ROLE,Jonathan Pryce,The Two Popes,False
5,2019,ACTOR IN A SUPPORTING ROLE,Tom Hanks,A Beautiful Day in the Neighborhood,False
6,2019,ACTOR IN A SUPPORTING ROLE,Anthony Hopkins,The Two Popes,False
7,2019,ACTOR IN A SUPPORTING ROLE,Al Pacino,The Irishman,False
8,2019,ACTOR IN A SUPPORTING ROLE,Joe Pesci,The Irishman,False
9,2019,ACTOR IN A SUPPORTING ROLE,Brad Pitt,Once upon a Time...in Hollywood,True
10,2019,ACTRESS IN A LEADING ROLE,Cynthia Erivo,Harriet,False
11,2019,ACTRESS IN A LEADING ROLE,Scarlett Johansson,Marriage Story,False
12,2019,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Little Women,False
13,2019,ACTRESS IN A LEADING ROLE,Charlize Theron,Bombshell,False
14,2019,ACTRESS IN A LEADING ROLE,Renée Zellweger,Judy,True
15,2019,ACTRESS IN A SUPPORTING ROLE,Kathy Bates,Richard Jewell,False
16,2019,ACTRESS IN A SUPPORTING ROLE,Laura Dern,Marriage Story,True
17,2019,ACTRESS IN A SUPPORTING ROLE,Scarlett Johansson,Jojo Rabbit,False
18,2019,ACTRESS IN A SUPPORTING ROLE,Florence Pugh,Little Women,False
19,2019,ACTRESS IN A SUPPORTING ROLE,Margot Robbie,Bombshell,False
20,2019,ANIMATED FEATURE FILM,"Dean DeBlois, Bradford Lewis and Bonnie Arnold",How to Train Your Dragon: The Hidden World,False
21,2019,ANIMATED FEATURE FILM,Jérémy Clapin and Marc du Pontavice,I Lost My Body,False
22,2019,ANIMATED FEATURE FILM,"Sergio Pablos, Jinko Gotoh and Marisa Román",Klaus,False
23,2019,ANIMATED FEATURE FILM,"Chris Butler, Arianne Sutner and Travis Knight",Missing Link,False
24,2019,ANIMATED FEATURE FILM,"Josh Cooley, Mark Nielsen and Jonas Rivera",Toy Story 4,True
25,2019,CINEMATOGRAPHY,Rodrigo Prieto,The Irishman,False
26,2019,CINEMATOGRAPHY,Lawrence Sher,Joker,False
27,2019,CINEMATOGRAPHY,Jarin Blaschke,The Lighthouse,False
28,2019,CINEMATOGRAPHY,Roger Deakins,1917,True
29,2019,CINEMATOGRAPHY,Robert Richardson,Once upon a Time...in Hollywood,False
30,2019,COSTUME DESIGN,Sandy Powell and Christopher Peterson,The Irishman,False
31,2019,COSTUME DESIGN,Mayes C. Rubeo,Jojo Rabbit,False
32,2019,COSTUME DESIGN,Mark Bridges,Joker,False
33,2019,COSTUME DESIGN,Jacqueline Durran,Little Women,True
34,2019,COSTUME DESIGN,Arianne Phillips,Once upon a Time...in Hollywood,False
35,2019,DIRECTING,Martin Scorsese,The Irishman,False
36,2019,DIRECTING,Todd Phillips,Joker,False
37,2019,DIRECTING,Sam Mendes,1917,False
38,2019,DIRECTING,Quentin Tarantino,Once upon a Time...in Hollywood,False
39,2019,DIRECTING,Bong Joon Ho,Parasite,True
40,2019,DOCUMENTARY (FEATURE),"Steven Bognar, Julia Reichert and Jeff Reichert",American Factory,True
41,2019,DOCUMENTARY (FEATURE),"Feras Fayyad, Kirstine Barfod and Sigrid Dyekjær",The Cave,False
42,2019,DOCUMENTARY (FEATURE),"Petra Costa, Joanna Natasegara, Shane Boris and Tiago Pavan",The Edge of Democracy,False
43,2019,DOCUMENTARY (FEATURE),Waad al-Kateab and Edward Watts,For Sama,False
44,2019,DOCUMENTARY (FEATURE),"Ljubo Stefanov, Tamara Kotevska and Atanas Georgiev",Honeyland,False
45,2019,DOCUMENTARY (SHORT SUBJECT),Yi Seung-Jun and Gary Byung-Seok Kam,In the Absence,False
46,2019,DOCUMENTARY (SHORT SUBJECT),Carol Dysinger and Elena Andreicheva,Learning to Skateboard in a Warzone (If You're a Girl),True
47,2019,DOCUMENTARY (SHORT SUBJECT),John Haptas and Kristine Samuelson,Life Overtakes Me,False
48,2019,DOCUMENTARY (SHORT SUBJECT),Smriti Mundhra and Sami Khan,St. Louis Superman,False
49,2019,DOCUMENTARY (SHORT SUBJECT),Laura Nix and Colette Sandstedt,Walk Run Cha-Cha,False
50,2019,FILM EDITING,Michael McCusker and Andrew Buckland,Ford v Ferrari,True
51,2019,FILM EDITING,Thelma Schoonmaker,The Irishman,False
52,2019,FILM EDITING,Tom Eagles,Jojo Rabbit,False
53,2019,FILM EDITING,Jeff Groth,Joker,False
54,2019,FILM EDITING,Yang Jinmo,Parasite,False
